1001010,,うっかり,"carelessly,thoughtlessly,inadvertently"
1001060,,うろうろ,"loiteringly,aimless wandering"
1001150,,ええと,"let me see,well,er...."
1001720,,おねがいします,please
1001950,お参り,おまいり,"worship,shrine visit"
1002030,御辞儀,おじぎ,bow
1002050,,おじゃまします,Excuse me for disturbing you
1002110,お手伝いさん,おてつだいさん,maid
1002280,,おさきに,"before,ahead,previously"
1002360,,おまちどおさま,Sorry to have kept you waiting
1002390,,おだいじに,Take care of yourself
1002770,,おしゃれ,"smartly dressed,someone smartly dressed,fashion-conscious"
1002790,,かしこまりました,certainly!
1003590,,ぎっしり,"tightly,fully"
1003710,,くしゃみ,sneeze
1003810,,くたびれる,"to get tired,to wear out"
1003860,,くっつく,"to adhere to,to keep close to"
1003870,,くっつける,to attach
1004510,,こちらこそ,it is I who should say so
1004520,,こっそり,"stealthily,secretly"
1004610,,こないだ,"the other day,lately,recently"
1005030,,ごくろうさま,Thank you very much for your....
1005190,,さっさと,quickly
1005550,,しつこい,"insistent,obstinate"
1005610,,しみじみ,"keenly,deeply,heartily"
1005630,,しゃがむ,to squat
1005650,,しゃっくり,"hiccough,hiccup"
1005670,,しゃぶる,"to suck,to chew"
1005970,,じゃんけん,(n) rock-scissors-paper game
1006120,,すっきり,"shapely,clear,neat"
1006380,,ずうっと,""
1006420,,ずらす,"to put off,to delay"
1006460,,ずれる,""
1006570,,せめて,"offense,method of attack"
1006740,,そそっかしい,"careless,thoughtless"
1006810,,そうっと,""
1006850,,そのため,"hence,for that reason"
1006880,,そのうえ,"in addition,furthermore"
1006900,,そのほか,otherwise
1007500,,だらしない,"slovenly,loose,a slut"
1008950,,どうせ,"anyhow,in any case,at any rate"
1008960,,どうぞよろしく,pleased to meet you
1009050,,どきどき,"throb,beat (fast)"
1009210,,どっと,suddenly
1010040,,のろのろ,"slowly,sluggishly"
1010090,,はきはき,lucidly
1010830,,ぴかぴか,"glitter,sparkle"
1010900,,ぴたり,""
1011180,,ぶつかる,"to strike,to collide with"
1011200,,ぶつぶつ,"grumbling,complaining in a small voice"
1011250,,ぶらさげる,"to hang,to suspend,to dangle,to swing"
1012070,,まあまあ,so-so
1012110,,まごまご,confused
1012470,,めっきり,remarkably
1012510,,もしかしたら,"perhaps,maybe,by some chance"
1012530,,もしかすると,"perhaps,maybe,by some chance"
1013140,,よこす,"(1) to send,to forward,(2) to hand over (e.g. money)"
1014210,,アイデア,idea
1014210,,アイディア,idea
1015310,,アクセント,accent
1020410,,アンテナ,antenna
1021220,,イコール,equal
1023100,,インタビュー,interview
1024950,,ウーマン,woman
1025010,,ウール,wool
1025690,,ウエートレス,waitress
1028990,,エチケット,etiquette
1029760,,エプロン,apron
1031610,,オーケストラ,orchestra
1032180,,オートメーション,automation
1032880,,オーバーコート,""
1033900,,オイル,"oil,engine oil,kerosene"
1035780,,オルガン,organ
1036560,,カーブ,"(1) curve,(2) curve ball (baseball)"
1037400,,カセット,cassette (tape)
1037960,,カバー,cover (ex. book)
1038500,,カラー,"collar,color,colour"
1039300,,カロリー,calorie
1040350,,ガム,chewing gum
1042150,,キャンパス,campus
1043150,,ギャング,gang
1043310,,クーラー,"cooler,air conditioner"
1044440,,クリーニング,"cleaning,dry cleaning,laundry service"
1048830,,コース,course
1049340,,コーラス,chorus
1050310,,コック,"(1) cook (nl:),(2) tap,spigot,faucet,cock"
1051540,,コレクション,"(1) collection,(2) correction"
1051840,,コンクール,contest (fr: concours)
1051860,,コンクリート,concrete
1052330,,コンセント,"(1) consent,(2) concentric"
1054570,,ゴム,"gum,rubber,eraser"
1054850,,サークル,"circle,sports club (i.e. at a company)"
1056150,,サイレン,siren
1057960,,サラリーマン,"salary man,company employee"
1058760,,サンプル,sample
1059300,,シーズン,season (sporting)
1059400,,シーツ,sheet
1061440,,シャッター,shutter
1062820,,ショップ,a shop
1062910,,シリーズ,series
1064980,,ジャーナリスト,journalist
1067480,,スカーフ,scarf
1068230,,スクール,school
1068870,,スケジュール,schedule
1069370,,スタート,start
1070220,,スチュワーデス,stewardess
1070320,,ステージ,"(1) stage,(2) performance"
1071000,,ストッキング,stockings
1071100,,ストップ,stop
1072240,,スピーカー,speaker
1073570,,スマート,"smart,stylish,slim"
1073760,,スライド,slide
1074740,,セメント,cement
1075060,,センチ,"centimeter,centi-,10^-2"
1075160,,ゼミ,(n) seminar
1076120,,タイア,"tire,tyre"
1076680,,ダイヤグラム,diagram
1076890,,ダイヤモンド,diamond
1076900,,ダイヤル,dial
1077110,,ダブル,double
1077140,,ダム,dumb
1077740,,チップ,"(1) gratuity,tip,(2) chip"
1078240,,チョーク,"chock,chalk"
1078830,,テーマ,"(n) theme,project,topic (de: Thema)"
1080030,,テニスコート,tennis court
1081120,,テンポ,tempo
1087100,,トレーニング,training
1089930,,ナイロン,nylon
1090860,,ナンバー,number
1091130,,にこにこ,""
1093000,,ネックレス,necklace
1096830,,ハンドル,"handle,steering wheel"
1098340,,バケツ,"bucket,pail"
1098760,,バック,back
1099490,,ばね,"spring (e.g. coil, leaf)"
1099690,,バランス,balance
1100240,,バンド,band
1101600,,パターン,pattern
1103270,,パンツ,underpants
1105160,,ビタミン,vitamin
1105580,,ビニール,vinyl
1106040,,ビルディング,building
1106660,,ピストル,pistol
1107140,,ピンク,pink
1108160,,ファスナー,"fastener,zipper"
1111160,,フライパン,"fry pan,frying pan"
1111640,,フリー,free
1113060,,ふわふわ,"light,soft"
