1000590,,あんな,such
1000940,,いらっしゃる,"(respectful) to be,to come or to go"
1001090,,うん,(informal) yes
1001180,,おいでになる,(respectful) to be
1001640,,おかげ,owing to
1001870,お見舞い,おみまい,"calling on someone who is ill,enquiry"
1002170,お嬢さん,おじょうさん,young lady
1002400,お宅,おたく,(polite) your house
1002500,お土産,おみやげ,souvenir
1003430,,きっと,surely
1004310,斯う,こう,this way
1004690,,このあいだ,"the other day,recently"
1004710,,このごろ,"these days,nowadays"
1004790,,これから,after this
1005180,先,さっき,some time ago
1006110,,すっかり,completely
1006140,,すっと,"straight,all of a sudden"
1006280,,すると,then
1006610,,そう,really
1007000,,それで,because of that
1007040,,それに,moreover
1007060,,それほど,to that extent
1007130,,そんな,that sort of
1007310,,だから,"so,therefore"
1007560,,ちっとも,not at all (used with a negative verb)
1007660,,ちゃん,suffix for familiar female person
1009320,,どんどん,more and more
1010150,,はっきり,clearly
1012800,,やっと,at last
1012810,,やっぱり,"as I thought,absolutely"
1015220,,アクセサリー,accessory
1015840,,アジア,Asia
1017330,,アナウンサー,announcer
1019280,,アルコール,alcohol
1019420,,アルバイト,part-time job
1028580,,エスカレーター,escalator
1032030,,オートバイ,motorcycle
1036290,,カーテン,curtain
1040060,,ガス,petrol
1040250,,ガソリン,petrol
1040260,,ガソリンスタンド,petrol station
1040380,,ガラス,a glass pane
1047860,,ケーキ,cake
1051970,,コンサート,concert
1053350,,コンピュータ,computer
1053350,,コンピューター,computer
1057850,,サラダ,salad
1058480,,サンダル,sandal
1058580,,サンドイッチ,sandwich
1065680,,ジャム,jam
1066680,,スーツ,suit
1066690,,スーツケース,suitcase
1068550,,スクリーン,screen
1070280,,ステーキ,steak
1070650,,ステレオ,stereo
1075500,,ソフト,soft
1075940,,タイプ,"type,style"
1077550,,チェック,to check
1079290,,テキスト,"text,text book"
1080000,,テニス,tennis
1096770,,ハンドバッグ,handbag　
1100810,,パート,part time
1101570,,パソコン,personal computer
1106010,,ビル,building or bill
1106400,,ピアノ,piano
1108180,,ファックス,fax
1116840,,プレゼント,present
1120010,,ベル,bell
1145130,,レジ,register
1145990,,リポート,report
1145990,,レポート,report
1148520,,ワープロ,word processor
1149830,,アメリカ,America
1151120,,あいさつ,to greet
1153890,安心,あんしん,relief
1153930,安全,あんぜん,safety
1154860,案内,あんない,to guide
1155060,以下,いか,less than
1155090,以外,いがい,with the exception of
1155120,以上,いじょう,"more than,this is all"
1155180,以内,いない,within
1156530,意見,いけん,opinion
1157080,為,ため,in order to
1157090,,なさる,(respectful) to do
1158210,移る,うつる,to move house or transfer
1159810,医学,いがく,medical science
1160570,育てる,そだてる,"to rear,to bring up"
1164010,一生懸命,いっしょうけんめい,with utmost effort
1165670,一杯,いっぱい,full
1169340,引っ越す,ひっこす,to move house
1172400,嘘,うそ,a lie
1172660,運ぶ,はこぶ,to transport
1172830,運転,うんてん,to drive
